instance,n_nodes,algo,time_ms,memory_mb,visited,result
solo_route_G01.json,3796,Heap,28.304100000241306,0.21129417419433594,2328,240.06302737993295
solo_route_G01.json,3796,Array,485.38860000007844,0.4237499237060547,2327,240.06302737993295
solo_route_G02.json,3796,Heap,36.48379999867757,0.20886802673339844,2820,241.30160726774213
solo_route_G02.json,3796,Array,546.1728999998741,0.42372703552246094,2820,241.30160726774213
solo_route_G03.json,3796,Heap,10.001000000556814,0.20886802673339844,520,90.0553614262347
solo_route_G03.json,3796,Array,153.81130000059784,0.42372703552246094,520,90.0553614262347
solo_route_G04.json,3796,Heap,21.27659999860043,0.20886802673339844,1119,151.60542892423626
solo_route_G04.json,3796,Array,273.0731999999989,0.42372703552246094,1119,151.60542892423626
solo_route_G05.json,3796,Heap,13.364399999773013,0.20886802673339844,811,137.44788187126758
solo_route_G05.json,3796,Array,199.38510000065435,0.42372703552246094,811,137.44788187126758
solo_route_G06.json,3796,Heap,15.300099999876693,0.20886802673339844,871,171.26314003078198
solo_route_G06.json,3796,Array,227.77309999946738,0.42372703552246094,871,171.26314003078198
solo_route_G07.json,3796,Heap,26.000800000474555,0.20886898040771484,1902,151.42366791224177
solo_route_G07.json,3796,Array,442.0350000000326,0.42372798919677734,1902,151.42366791224177
solo_route_G08.json,3796,Heap,11.796400000093854,0.20886802673339844,516,93.98870417819299
solo_route_G08.json,3796,Array,164.39700000046287,0.42372703552246094,516,93.98870417819299
solo_route_G09.json,3796,Heap,10.350900000048568,0.20886802673339844,445,87.2268414512593
solo_route_G09.json,3796,Array,115.1943000004394,0.42372703552246094,445,87.2268414512593
solo_route_G10.json,3796,Heap,7.4100999991060235,0.20886802673339844,59,25.212067160527088
solo_route_G10.json,3796,Array,31.901399999696878,0.42372703552246094,59,25.212067160527088
solo_route_G11.json,3796,Heap,26.2297999997827,0.20886802673339844,2012,153.03268773375848
solo_route_G11.json,3796,Array,424.9073999999382,0.42372703552246094,2012,153.03268773375848
solo_route_G12.json,3796,Heap,39.12490000038815,0.20886802673339844,3061,363.7813319051651
solo_route_G12.json,3796,Array,576.4610999995057,0.42372703552246094,3060,363.7813319051651
solo_route_G13.json,3796,Heap,28.459400000429014,0.20886802673339844,2089,190.70988146965843
solo_route_G13.json,3796,Array,425.3402000013011,0.42372703552246094,2089,190.70988146965843
solo_route_G14.json,3796,Heap,13.213199999881908,0.20886802673339844,644,126.71877189354873
solo_route_G14.json,3796,Array,197.1084000015253,0.42372703552246094,644,126.71877189354873
solo_route_G15.json,3796,Heap,38.01070000008622,0.20886802673339844,3421,316.07954331475725
solo_route_G15.json,3796,Array,535.6307000001834,0.42372703552246094,3420,316.07954331475725
